run,fit1,node1,fit2,node2
13,49748,4.4899_2.5000_2.5000_2.5000_1.5050,49748,4.4899_2.5000_1.5050_2.5000_2.5000
13,49748,4.4899_2.5000_1.5050_2.5000_2.5000,39798,3.4950_1.5050_2.5000_1.5050_1.5050
13,39798,3.4950_1.5050_2.5000_1.5050_1.5050,39798,3.4950_1.5050_3.4950_1.5050_2.5000
13,39798,3.4950_1.5050_3.4950_1.5050_2.5000,9950,2.5000_2.5000_3.4950_2.5000_2.5000
13,9950,2.5000_2.5000_3.4950_2.5000_2.5000,9950,2.5000_2.5000_2.5000_3.4950_2.5000
13,9950,2.5000_2.5000_2.5000_3.4950_2.5000,9950,2.5000_2.5000_2.5000_2.5000_3.4950
13,9950,2.5000_2.5000_2.5000_2.5000_3.4950,9950,2.5000_2.5000_2.5000_1.5050_2.5000
13,9950,2.5000_2.5000_2.5000_1.5050_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
13,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
13,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
13,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
13,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
14,252355,2.5021_0.5066_3.4999_-2.4866_2.5021,149244,2.5000_0.5101_1.5050_-0.4849_3.4950
14,149244,2.5000_0.5101_1.5050_-0.4849_3.4950,149244,1.5050_-0.4849_2.5000_0.5101_1.5050
14,149244,1.5050_-0.4849_2.5000_0.5101_1.5050,139294,1.5050_-0.4849_2.5000_0.5101_2.5000
14,139294,1.5050_-0.4849_2.5000_0.5101_2.5000,139294,0.5101_-0.4849_2.5000_1.5050_2.5000
14,139294,0.5101_-0.4849_2.5000_1.5050_2.5000,99496,0.5101_0.5101_1.5050_1.5050_2.5000
14,99496,0.5101_0.5101_1.5050_1.5050_2.5000,59697,0.5101_1.5050_1.5050_2.5000_2.5000
14,59697,0.5101_1.5050_1.5050_2.5000_2.5000,9950,1.5050_2.5000_2.5000_2.5000_2.5000
14,9950,1.5050_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
14,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
15,157034,-0.4912_1.5044_1.5044_4.4976_3.4999,129344,-0.4849_1.5050_1.5050_3.4950_3.4950
15,129344,-0.4849_1.5050_1.5050_3.4950_3.4950,119395,-0.4849_1.5050_2.5000_3.4950_3.4950
15,119395,-0.4849_1.5050_2.5000_3.4950_3.4950,59697,0.5101_1.5050_2.5000_3.4950_2.5000
15,59697,0.5101_1.5050_2.5000_3.4950_2.5000,59697,2.5000_2.5000_3.4950_4.4899_3.4950
15,59697,2.5000_2.5000_3.4950_4.4899_3.4950,58957,3.4999_3.4999_2.5021_4.4976_3.4999
15,58957,3.4999_3.4999_2.5021_4.4976_3.4999,49748,1.5050_2.5000_2.5000_4.4899_2.5000
15,49748,1.5050_2.5000_2.5000_4.4899_2.5000,19899,1.5050_3.4950_2.5000_2.5000_2.5000
15,19899,1.5050_3.4950_2.5000_2.5000_2.5000,19899,2.5000_3.4950_2.5000_1.5050_2.5000
15,19899,2.5000_3.4950_2.5000_1.5050_2.5000,19899,2.5000_3.4950_1.5050_2.5000_2.5000
15,19899,2.5000_3.4950_1.5050_2.5000_2.5000,19899,2.5000_3.4950_2.5000_1.5050_2.5000
15,19899,2.5000_3.4950_2.5000_1.5050_2.5000,9950,2.5000_3.4950_2.5000_2.5000_2.5000
15,9950,2.5000_3.4950_2.5000_2.5000_2.5000,9950,1.5050_2.5000_2.5000_2.5000_2.5000
15,9950,1.5050_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
15,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
15,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
16,603755,-2.4866_4.4976_4.4976_-4.4821_-1.4889,322187,-0.4911_2.5021_4.4976_-2.4866_0.5066
16,322187,-0.4911_2.5021_4.4976_-2.4866_0.5066,300574,-0.4912_2.5021_4.4976_-2.4866_1.5044
16,300574,-0.4912_2.5021_4.4976_-2.4866_1.5044,295581,-0.4912_2.5021_3.4999_-2.4866_1.5044
16,295581,-0.4912_2.5021_3.4999_-2.4866_1.5044,270093,0.5066_2.5021_4.4976_-2.4866_1.5044
16,270093,0.5066_2.5021_4.4976_-2.4866_1.5044,248480,1.5044_2.5021_4.4976_-2.4866_1.5044
16,248480,1.5044_2.5021_4.4976_-2.4866_1.5044,179092,-0.4849_3.4950_2.5000_0.5101_0.5101
16,179092,-0.4849_3.4950_2.5000_0.5101_0.5101,29849,1.5050_1.5050_2.5000_2.5000_1.5050
16,29849,1.5050_1.5050_2.5000_2.5000_1.5050,29849,1.5050_1.5050_2.5000_2.5000_1.5050
16,29849,1.5050_1.5050_2.5000_2.5000_1.5050,19899,2.5000_1.5050_1.5050_2.5000_2.5000
16,19899,2.5000_1.5050_1.5050_2.5000_2.5000,19899,2.5000_1.5050_1.5050_2.5000_2.5000
16,19899,2.5000_1.5050_1.5050_2.5000_2.5000,9950,2.5000_2.5000_1.5050_2.5000_2.5000
16,9950,2.5000_2.5000_1.5050_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
16,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
16,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
17,631999,-4.4821_-3.4844_-0.4911_1.5043_2.5021,574911,-2.4866_-4.4821_1.5044_-0.4911_2.5021
17,574911,-2.4866_-4.4821_1.5044_-0.4911_2.5021,496209,-2.4866_-3.4844_2.5021_-0.4911_2.5021
17,496209,-2.4866_-3.4844_2.5021_-0.4911_2.5021,492334,-2.4866_-3.4844_2.5021_-0.4912_3.4999
